StreamLen	Trials	NumDistinct	EpsTotalWeight	p0.00135	p0.02275	p0.15866	p0.50	p0.84134	p0.97725	p0.99865	BoundViolationRate
16384	76	2799.9	163.74	3.0000	5.0000	9.0000	15.0000	23.0000	40.0000	60.0000	0.00013158
17109	74	2875.8	170.98	2.0000	5.0000	9.0000	15.0000	24.0000	41.0000	74.0000	0.00015977
17867	73	2956.2	178.56	2.0000	6.0000	10.0000	16.0000	25.0000	45.0000	134.0000	0.00014828
18658	72	3022.6	186.46	3.0000	6.0000	10.0000	17.0000	26.0000	45.0000	64.0000	0.00013325
19484	70	3102.1	194.72	2.0000	6.0000	11.0000	17.0000	27.0000	46.0000	76.0000	0.00014276
20347	69	3183.7	203.34	4.0000	6.0000	11.0000	18.0000	29.0000	51.0000	86.0000	0.00011836
21247	68	3265.7	212.34	4.0000	7.0000	12.0000	19.0000	30.0000	49.0000	77.0000	0.00014410
22188	67	3347.6	221.74	5.0000	7.0000	13.0000	20.0000	32.0000	53.0000	145.0000	0.00015605
23170	65	3424.9	231.55	5.0000	8.0000	13.0000	21.0000	33.0000	59.0000	126.0000	0.00016620
24196	64	3512.9	241.81	4.0000	8.0000	14.0000	22.0000	34.0000	60.0000	85.0000	0.00012009
25268	63	3595.8	252.52	5.0000	9.0000	15.0000	23.0000	36.0000	65.0000	271.0000	0.00018099
26386	62	3675.5	263.69	5.0000	9.0000	15.0000	24.0000	37.0000	63.0000	94.0000	0.00011848
27554	61	3763.8	275.37	5.0000	9.0000	16.0000	25.0000	39.0000	68.0000	121.0000	0.00018294
28774	60	3851.5	287.56	7.0000	10.0000	17.0000	26.0000	41.0000	73.0000	136.0000	0.00013415
30048	59	3940.2	300.29	6.0000	10.0000	18.0000	27.0000	42.0000	73.0000	138.0000	0.00016776
31379	58	4030.7	313.59	7.0000	11.0000	18.0000	28.0000	45.0000	80.0000	129.0000	0.00017966
32768	57	4123.9	327.47	8.0000	11.0000	19.0000	30.0000	47.0000	79.0000	116.0000	0.00014889
34219	55	4205.3	341.97	7.0000	12.0000	20.0000	31.0000	49.0000	82.0000	127.0000	0.00014268
35734	54	4297.2	357.11	7.0000	13.0000	21.0000	33.0000	51.0000	85.0000	150.0000	0.00014652
